,state,fips,total_cases,total_deaths,fatality_ratio,cases_rank,deaths_rank,fatality_rank
0,Alabama,1,184349.0,2866.0,0.01554659911363772,14,22,37
1,Alaska,2,13967.0,64.0,0.004582229541061073,48,52,55
2,Arizona,4,238199.0,5874.0,0.024660053148837735,9,11,18
3,Arkansas,5,106114.0,1812.0,0.017075974894924326,28,28,33
4,California,6,909343.0,17358.0,0.019088506757076264,2,3,30
5,Colorado,8,95740.0,2244.0,0.023438479214539377,32,26,20
6,Connecticut,9,66051.0,4577.0,0.06929493875944347,34,14,2
7,Delaware,10,23960.0,681.0,0.02842237061769616,44,37,12
8,District of Columbia,11,16766.0,642.0,0.03829178098532745,46,39,9
9,Florida,12,778626.0,16428.0,0.02109870464125267,3,4,26
10,Georgia,13,360342.0,7626.0,0.021163228266480177,6,9,25
11,Guam,66,5107.0,70.0,0.013706677109849227,52,50,42
12,Hawaii,15,14822.0,211.0,0.014235595736068007,47,48,40
13,Idaho,16,59343.0,574.0,0.00967258143336198,37,41,49
14,Illinois,17,380064.0,9788.0,0.02575355729561337,5,7,16
15,Indiana,18,165037.0,4130.0,0.025024691432830214,20,16,17
16,Iowa,19,116235.0,1635.0,0.014066331139501871,25,30,41
17,Kansas,20,78240.0,975.0,0.01246165644171779,33,34,45
18,Kentucky,21,98729.0,1472.0,0.014909499741717226,30,31,39
19,Louisiana,22,183574.0,5837.0,0.031796441761905284,15,12,10
20,Maine,23,6200.0,146.0,0.023548387096774193,51,49,19
21,Maryland,24,140767.0,4096.0,0.029097728871113258,22,17,11
22,Massachusetts,25,150564.0,9864.0,0.06551366860604128,21,6,4
23,Michigan,26,175513.0,7522.0,0.04285722425119507,16,10,7
24,Minnesota,27,133854.0,2402.0,0.01794492506761098,23,24,32
25,Mississippi,28,115087.0,3255.0,0.028282951158688643,26,20,13
26,Missouri,29,175238.0,2857.0,0.016303541469316014,17,23,34
27,Montana,30,27876.0,298.0,0.01069019945472808,43,47,48
28,Nebraska,31,63787.0,604.0,0.009469014062426513,35,40,51
29,Nevada,32,95796.0,1748.0,0.01824710843876571,31,29,31
30,New Hampshire,33,10327.0,473.0,0.04580226590490946,50,43,5
31,New Jersey,34,230256.0,16285.0,0.07072562712806615,10,5,1
32,New Mexico,35,41859.0,967.0,0.02310136410329917,39,35,22
33,New York,36,500200.0,33059.0,0.06609156337465014,4,1,3
34,North Carolina,37,260127.0,4183.0,0.016080606780534124,7,15,35
35,North Dakota,38,37723.0,461.0,0.012220661135116507,41,44,46
36,Northern Mariana Islands,69,86.0,2.0,0.023255813953488372,55,55,21
37,Ohio,39,198112.0,5206.0,0.02627806493296721,13,13,15
38,Oklahoma,40,116735.0,1249.0,0.010699447466483917,24,32,47
39,Oregon,41,42100.0,654.0,0.015534441805225653,38,38,38
40,Pennsylvania,42,198754.0,8730.0,0.043923644304014006,12,8,6
41,Puerto Rico,72,62500.0,801.0,0.012816,36,36,43
42,Rhode Island,44,30116.0,1177.0,0.03908221543365653,42,33,8
43,South Carolina,45,170676.0,3802.0,0.022276125524385387,19,18,24
44,South Dakota,46,39198.0,374.0,0.009541303127710598,40,46,50
45,Tennessee,47,243507.0,3105.0,0.012751173477559167,8,21,44
46,Texas,48,909967.0,18042.0,0.01982709263083167,1,2,28
47,Utah,49,105052.0,572.0,0.0054449225145642155,29,42,54
48,Vermont,50,2072.0,58.0,0.027992277992277992,53,53,14
49,Virgin Islands,78,1345.0,21.0,0.015613382899628252,54,54,36
50,Virginia,51,173370.0,3579.0,0.02064370998442637,18,19,27
51,Washington,53,107269.0,2396.0,0.02233636931452703,27,25,23
52,West Virginia,54,21905.0,423.0,0.019310659666742752,45,45,29
53,Wisconsin,55,208916.0,1814.0,0.008682915621589538,11,27,52
54,Wyoming,56,11040.0,68.0,0.006159420289855073,49,51,53
